Title,URL,Author,Price
Home Automation with the ESP8266: Build Home Automation Systems Using the Powerful & Cheap ESP8266 WiFi Chip,https://www.amazon.com/Home-Automation-ESP8266-Systems-Powerful/dp/152381005X/ref=sr_1_34?ie=UTF8&qid=1534925975&sr=8-34&keywords=automation+books,by Marco Schwartz,"$ 12 99 "
Technology of War: Air Power,https://www.amazon.com/Technology-War-Power-Ernie-Schultz/dp/B01HU56XJ4/ref=sr_1_35?ie=UTF8&qid=1534925975&sr=8-35&keywords=automation+books,"Technology of War: Air Power2016

CC",
Learning RSLogix 5000 Programming: Building PLC solutions with Rockwell Automation and RSLogix 5000,https://www.amazon.com/Learning-RSLogix-5000-Programming-Automation/dp/1784396036/ref=sr_1_36?ie=UTF8&qid=1534925975&sr=8-36&keywords=automation+books,by Austin Scott,"$ 39 99 "
Marketing Automation For Dummies (For Dummies Series),https://www.amazon.com/Marketing-Automation-Dummies-Mathew-Sweezey/dp/1118772229/ref=sr_1_37?ie=UTF8&qid=1534925975&sr=8-37&keywords=automation+books,"Marketing Automation For Dummies (For Dummies Series)Apr 4, 2014","$ 14 84 "
Puppet By Example: A selection of practical puppet examples and explanations,https://www.amazon.com/Puppet-Example-selection-practical-explanations-ebook/dp/B074SB7DF4/ref=sr_1_38?ie=UTF8&qid=1534925975&sr=8-38&keywords=automation+books,"Puppet By Example: A selection of practical puppet examples and explanationsAug 12, 2017",
Programmable Logic Controllers,https://www.amazon.com/Programmable-Logic-Controllers-Frank-Petruzella/dp/0073373842/ref=sr_1_39?ie=UTF8&qid=1534925975&sr=8-39&keywords=automation+books,"Programmable Logic ControllersJan 13, 2016","$ 44 98 "
"How to Setup a Raspberry Pi Web Server: Web Sites, Home Automation, Security Cameras and Email",https://www.amazon.com/How-Setup-Raspberry-Web-Server/dp/1548690937/ref=sr_1_40?ie=UTF8&qid=1534925975&sr=8-40&keywords=automation+books,by Michael Wright,"$ 25 50 "
"Amazon Echo Dot: Essential User Guide for Echo Dot and Alexa: Beginner to Pro in 60 Minutes (Amazon Echo, Echo Dot, Amazon Echo Dot, Amazon Dot, Alexa, Amazon Alexa, Amazon Echo Manual, Alexa Manual)",https://www.amazon.com/Amazon-Echo-Dot-Essential-Beginner-ebook/dp/B06X95BTH4/ref=sr_1_41?ie=UTF8&qid=1534925975&sr=8-41&keywords=automation+books,by William Scott,
Autonomy: The Quest to Build the Driverless Car - And How It Will Reshape Our World,https://www.amazon.com/Autonomy-Quest-Build-Driverless-Reshape/dp/B07F7BTXMW/ref=sr_1_42?ie=UTF8&qid=1534925975&sr=8-42&keywords=automation+books,"Autonomy: The Quest to Build the Driverless Car - And How It Will Reshape Our WorldAug 28, 2018 | Unabridged",
Mix Automation for the Small Recording Studio,https://www.amazon.com/Mix-Automation-Small-Recording-Studio/dp/1985065029/ref=sr_1_43?ie=UTF8&qid=1534925975&sr=8-43&keywords=automation+books,"Mix Automation for the Small Recording StudioMay 25, 2018","$ 6 99 "
Artificial Intelligence: 101 Things You Must Know Today About Our Future,https://www.amazon.com/Artificial-Intelligence-Things-Today-Future/dp/1982048808/ref=sr_1_44?ie=UTF8&qid=1534925975&sr=8-44&keywords=automation+books,"Artificial Intelligence: 101 Things You Must Know Today About Our FutureJan 29, 2018","$ 13 84 "
"Home Automation - A Smart Home Guide: The Beginner’s Manual Including Google Home, Echo Dot and Amazon Alexa. Easy Instructions, Directions and Commands ... and Home Automation Guide Series Book 1)",https://www.amazon.com/Home-Automation-Beginners-Instructions-Directions-ebook/dp/B01MY2B5R2/ref=sr_1_45?ie=UTF8&qid=1534925975&sr=8-45&keywords=automation+books,by Frederic Marsh,
